residence_time_ms,phi,h2_fraction,inlet_temperature_k,pressure_atm,reactor_pressure_atm,outlet_temperature_k,temperature_rise_k,x_ch4,x_h2,x_o2,x_co,x_co2,x_h2o,x_no,ch4_conversion_percent,h2_conversion_percent,status,error_message
2.0,0.7,0.0,1000.0,10.0,9.999999999999991,2371.179580456199,1371.179580456199,9.752030034054276e-06,0.0006405892925615258,0.05780941543899814,0.0020387801421059767,0.06623550695313386,0.13349137299263505,0.0012497990976985376,99.98572023305505,,stable,
5.0,0.7,0.0,1000.0,10.0,10.000000000000064,2371.8086996294896,1371.8086996294896,4.082051506445232e-06,0.0005877802427582688,0.057108945723804996,0.0017807058840122434,0.0665191416973639,0.13367719791421823,0.002442879007447839,99.99402407801524,,stable,
10.0,0.7,0.0,1000.0,10.0,9.999999999998662,2370.318593216172,1370.3185932161718,2.0953390763585003e-06,0.0005667496397765616,0.056429834447981345,0.0016815656523538453,0.06662875714722198,0.13376498925681224,0.0037394932198444243,99.99693283168381,,stable,
20.0,0.7,0.0,1000.0,10.0,10.000000000000357,2368.0644885463666,1368.0644885463666,1.0714935570857954e-06,0.0005536079913309314,0.05570228911518864,0.0016226532327638307,0.06669439864003238,0.13382998161645723,0.005172147949773541,99.9984316485399,,stable,
50.0,0.7,0.0,1000.0,10.0,9.999999999997955,2365.2369137832375,1365.2369137832375,4.383823098004789e-07,0.0005432703229684182,0.05488865232695545,0.0015787416286909945,0.06674373808417149,0.13388902789666515,0.006794360111548383,99.99935837434039,,stable,
0.001,0.7,0.2,1000.0,10.0,10.000000000000163,999.9999995760152,-4.2398482946737204e-07,0.06369426745312863,0.01592356685662176,0.19335759771592467,6.979987359705698e-19,9.903470585781942e-21,2.757278200840467e-12,2.0997488583461013e-25,1.0055798416175321e-07,1.4238529244536835e-07,extinguished,
0.002,0.7,0.2,1000.0,10.0,9.99999999980859,999.9999991782893,-8.217107279051561e-07,0.0636942673913714,0.01592356683150609,0.19335759761201884,5.2178453138965615e-18,5.163656083785685e-20,6.821678651257483e-12,8.141446985436487e-25,1.9986323707144038e-07,3.024580585986314e-07,extinguished,
0.005,0.7,0.2,1000.0,10.0,9.999999999999831,2039.4992592053377,1039.4992592053377,0.0020488752112929414,0.007552259949423593,0.07942802758969507,0.03077291953547991,0.028865841323280853,0.12369834286558082,1.8939447687669016e-05,96.73060438986548,51.7953550530609,stable,
0.01,0.7,0.2,1000.0,10.0,10.000000000019057,2153.5019765876928,1153.5019765876928,0.0007648993108773771,0.00517447905519007,0.06951699075501745,0.021050098618011263,0.04078137009140134,0.129334987010641,4.341167256939666e-05,98.78633988796484,67.1587685305036,stable,
0.02,0.7,0.2,1000.0,10.0,9.999999999999998,2225.796698783884,1225.796698783884,0.0003927234223218956,0.0038164265119288625,0.06500841872499216,0.014842890781713322,0.04783465030935762,0.13259427102440824,7.047440926045379e-05,99.37969409042833,75.8878459064242,stable,
0.05,0.7,0.2,1000.0,10.0,9.999999999999996,2293.493674500991,1293.493674500991,0.00018600173081302488,0.002507761221494995,0.061644551264656205,0.009288055751953607,0.0540037048386602,0.13582992456100382,0.0001211323649448936,99.70755240948301,84.22834618554465,stable,
0.1,0.7,0.2,1000.0,10.0,9.999999999999998,2328.815465126411,1328.8154651264108,0.00010944796263157474,0.0018084903951725718,0.060125786656050347,0.0064596148661209924,0.0571129824692908,0.1376344609223174,0.00017903013914122355,99.82833926309473,88.65408596169321,stable,
0.2,0.7,0.2,1000.0,10.0,10.000000000000002,2353.107694783182,1353.107694783182,6.402693380121825e-05,0.0013261540529849831,0.0591346828343979,0.004521672511430299,0.05923541922937073,0.1389346704593635,0.0002683269483551488,99.89975024068787,91.69433132404498,stable,
