reactor_model,phi,h2_fraction,initial_temperature_k,pressure_atm,ignition_delay_ms,ignition_delay_oh_ms,criterion_difference_percent,maximum_temperature_k,temperature_rise_k,maximum_temperature_rate_k_per_s,maximum_oh_mass_fraction,final_pressure_atm,final_volume_m3,recorded_points,status,error_message
constant_pressure,1.0,0.0,900.0,10.0,601.9824187351525,601.9847187036274,0.000382065722086136,2607.6129620776833,1707.6129620776833,183574206.8908081,0.007708239941131959,9.999999999999998,2.9252774775237524,3991,ignited,
constant_pressure,1.0,0.0,950.0,10.0,207.4328033531193,207.43494479934034,0.0010323565927931747,2634.2901202320386,1684.2901202320386,206576170.10009766,0.008162996735498605,10.0,2.8026106632422643,3772,ignited,
constant_pressure,1.0,0.0,1000.0,10.0,81.99412584560625,81.99613358554062,0.002448638745354855,2660.711727303837,1660.711727303837,232048511.8690796,0.008630985357865786,9.999999999999998,2.6921954041905103,3789,ignited,
constant_pressure,1.0,0.0,1050.0,10.0,36.17832154160425,36.18019940102261,0.005190565339535956,2686.8441586547333,1636.8441586547333,260109094.08233643,0.009111104670803567,9.999999999999998,2.592251378750304,3746,ignited,
constant_pressure,1.0,0.0,1100.0,10.0,17.338807352605375,17.340565702423312,0.01014112321671752,2712.6627629822556,1612.6627629822556,290873983.6958618,0.00960221126093519,9.999999999999998,2.5013290511276374,3609,ignited,
constant_pressure,1.0,0.1,900.0,10.0,180.1933435913318,180.1955087339637,0.001201566377948898,2612.711123074992,1712.711123074992,193688088.35923767,0.007889877867454431,9.999999999999998,2.916433074475967,3919,ignited,
constant_pressure,1.0,0.1,950.0,10.0,52.01681866447391,52.018840328955434,0.0038865592580072717,2639.346557634212,1689.3465576342119,217930394.8633728,0.008354532332903085,10.0,2.7940588756636315,3823,ignited,
constant_pressure,1.0,0.1,1000.0,10.0,18.090864189732518,18.09275594818587,0.010456982228785154,2665.7221219143294,1665.7221219143294,244680134.1402893,0.008832438609312094,9.999999999999998,2.683903432273724,3762,ignited,
constant_pressure,1.0,0.1,1050.0,10.0,7.6572808678984945,7.659065175046918,0.02330209873721804,2691.805800671887,1641.805800671887,274095129.83325195,0.009322331237516596,9.999999999999998,2.5841918472821312,3665,ignited,
constant_pressure,1.0,0.1,1100.0,10.0,3.9080148643382375,3.9096838226432085,0.04270603779429452,2717.5732377508975,1617.5732377508975,306261619.9708252,0.009823130896128242,9.999999999999998,2.493479596380394,3528,ignited,
constant_pressure,1.0,0.2,900.0,10.0,174.91250517139002,174.91452488126592,0.0011546972435827721,2618.6830825301654,1718.6830825301654,206756158.05117798,0.00810989561017118,10.0,2.9062111818967247,3903,ignited,
constant_pressure,1.0,0.2,950.0,10.0,46.60285157261497,46.604737771654584,0.004047389753975446,2645.270217635324,1695.2702176353241,232593372.6500244,0.0085866265003967,9.999999999999998,2.784175871145466,3857,ignited,
constant_pressure,1.0,0.2,1000.0,10.0,14.34111820030897,14.342878762160213,0.012276322017942827,2671.59284978071,1671.59284978071,261059343.06585693,0.009076622854080287,9.999999999999998,2.6743212441764834,3669,ignited,
constant_pressure,1.0,0.2,1050.0,10.0,5.140763458689769,5.142418000429555,0.032184747520134394,2697.619514488652,1647.619514488652,292250444.54400635,0.009578541718156818,9.999999999999998,2.574878684542677,3607,ignited,
constant_pressure,1.0,0.2,1100.0,10.0,2.226362812870889,2.2279125367060613,0.06960787461113226,2723.327512089418,1623.3275120894182,326279050.60150146,0.010091088187107492,10.000000000000002,2.4844094695511845,3492,ignited,
constant_pressure,1.0,0.3,900.0,10.0,174.33199583022463,174.33385187192954,0.0010646592417373189,2625.775188712627,1725.775188712627,223929851.71435547,0.008382371264654137,10.000000000000005,2.894263921652579,3802,ignited,
constant_pressure,1.0,0.3,950.0,10.0,45.108957754289285,45.110674397443915,0.003805548254917989,2652.306100145172,1702.306100145172,251834840.90374756,0.00887393903533025,10.000000000000004,2.7726255719895208,3810,ignited,
constant_pressure,1.0,0.3,1000.0,10.0,13.212070924413128,13.213682348545959,0.01219660522600655,2678.5666206715696,1678.5666206715696,282503376.21099854,0.009378684018133868,10.000000000000002,2.66312318062832,3682,ignited,
constant_pressure,1.0,0.3,1050.0,10.0,4.33999380674381,4.341498027384086,0.034659511217232236,2704.526487347179,1654.5264873471792,316005832.46987915,0.009895185501751036,10.0,2.563995488010862,3625,ignited,
constant_pressure,1.0,0.3,1100.0,10.0,1.6580127528293538,1.659430707216542,0.08552131971050697,2730.164316797579,1630.164316797579,352470957.5975342,0.010422007258229856,10.000000000000004,2.4738105670849118,3510,ignited,
constant_pressure,1.0,0.4,900.0,10.0,172.58391882888608,172.58555244660832,0.0009465642762776477,2634.336503809171,1734.336503809171,247200809.7876587,0.00873012591035978,9.999999999999998,2.8801160739477436,3871,ignited,
constant_pressure,1.0,0.4,950.0,10.0,44.108306767127665,44.10982452929179,0.003440989408503588,2660.800706753575,1710.800706753575,277849832.558197,0.009240079429783953,10.0,2.758948870478895,3805,ignited,
constant_pressure,1.0,0.4,1000.0,10.0,12.6371697039574,12.638591879587157,0.011253909404352608,2686.9876426700644,1686.9876426700644,311433131.3352051,0.0097629833494247,9.999999999999998,2.6498643364333034,3699,ignited,
constant_pressure,1.0,0.4,1050.0,10.0,3.9693468319041685,3.9706828919075927,0.03365944222070664,2712.867157937703,1662.8671579377028,348011158.90826416,0.010297267000426593,9.999999999999996,2.5511099475309305,3556,ignited,
constant_pressure,1.0,0.4,1100.0,10.0,1.3909850413919957,1.3922467434924044,0.09070565555083455,2738.4211035389485,1638.4211035389485,387646857.96435547,0.010841364254430752,9.999999999999998,2.4612618482456607,3474,ignited,
