reactor_model,initial_temperature_k,pressure_atm,phi,h2_fraction,ignition_delay_ms,ignition_delay_oh_ms,criterion_difference_percent,maximum_temperature_k,temperature_rise_k,maximum_temperature_rate_k_per_s,maximum_oh_mass_fraction,recorded_points,status,error_message
constant_pressure,1075.0,10.0,0.6,0.0,20.703526714145823,20.708311793944873,0.02311238981221372,2291.3224631195662,1216.3224631195662,96075557.75241089,0.004472102070192202,3187,ignited,
constant_pressure,1075.0,10.0,0.7,0.0,21.70455866558707,21.70813518251369,0.016478183139894638,2434.2677145398934,1359.2677145398934,148837727.95516968,0.006170871917644892,3349,ignited,
constant_pressure,1075.0,10.0,0.8,0.0,22.731628081799155,22.73443705013469,0.012357092617511268,2552.7945752020887,1477.7945752020887,200979576.6388855,0.0076857325700798295,3563,ignited,
constant_pressure,1075.0,10.0,0.9,0.0,23.774714465439608,23.77698914989136,0.009567662547782322,2643.0076205410132,1568.0076205410132,245191842.53015137,0.008797975261345018,3558,ignited,
constant_pressure,1075.0,10.0,1.0,0.0,24.828072868101216,24.82989262883872,0.007329448190247354,2699.7931978179736,1624.7931978179736,275144088.14505005,0.009355337531871313,3522,ignited,
constant_pressure,1075.0,10.0,1.1,0.0,25.888251234880276,25.889651859726968,0.005410272150035741,2715.071234079827,1640.0712340798268,285753129.0650635,0.009289767333117923,3619,ignited,
constant_pressure,1075.0,10.0,1.2,0.0,26.953114884390878,26.954300595627515,0.004399162181154072,2686.74226934562,1611.7422693456201,273668519.4456787,0.008556780914329145,3654,ignited,
constant_pressure,1075.0,10.0,1.3,0.0,28.021333679763544,28.022604894636153,0.004536596605776661,2631.218769460864,1556.2187694608642,238579851.59951782,0.007004419590095816,3680,ignited,
constant_pressure,1075.0,10.0,1.4,0.0,29.092060751976987,29.09379711646201,0.005968516633545092,2565.8369032978176,1490.8369032978176,186422320.80142212,0.004546487158171005,3647,ignited,
constant_pressure,1100.0,10.0,0.6,0.0,14.277050130423243,14.281559144063536,0.0315822498282376,2311.5568165236227,1211.5568165236227,105249215.84410095,0.004698756006372653,3267,ignited,
constant_pressure,1100.0,10.0,0.7,0.0,15.030552770605425,15.033934428795236,0.022498561705757973,2452.601309483727,1352.6013094837272,160350240.4903717,0.006418557300243771,3340,ignited,
constant_pressure,1100.0,10.0,0.8,0.0,15.79546687603921,15.798169258895069,0.01710859753033123,2568.9186354464937,1468.9186354464937,214366679.3859558,0.007939430752470585,3493,ignited,
constant_pressure,1100.0,10.0,0.9,0.0,16.56594484659872,16.5681469540136,0.013292978065981904,2657.0746182276234,1557.0746182276234,259980718.06271362,0.009049321563677286,3477,ignited,
constant_pressure,1100.0,10.0,1.0,0.0,17.338807352605375,17.340565702423312,0.01014112321671752,2712.6627629822556,1612.6627629822556,290873983.6958618,0.00960221126093519,3609,ignited,
constant_pressure,1100.0,10.0,1.1,0.0,18.112318080254926,18.11367992481938,0.007518886088566526,2728.60111549908,1628.6011154990802,302004708.541626,0.009533629713086026,3636,ignited,
constant_pressure,1100.0,10.0,1.2,0.0,18.885527753665723,18.886678784196665,0.006094775565475194,2702.647816114895,1602.6478161148948,290064948.35183716,0.008801708133632376,3594,ignited,
constant_pressure,1100.0,10.0,1.3,0.0,19.657947736992035,19.659169965546294,0.006217477890423387,2649.2386974298847,1549.2386974298847,254765443.1015625,0.007261327831450561,3587,ignited,
constant_pressure,1100.0,10.0,1.4,0.0,20.429366209927522,20.43100758294333,0.008034380503738711,2585.1434384619397,1485.1434384619397,201777420.72183228,0.004827734509988322,3649,ignited,
constant_pressure,900.0,10.0,0.6,0.2,223.05750856009192,223.0641972134652,0.002998622828913405,2159.4067720845023,1259.4067720845023,57491760.14880371,0.0032073883123009757,3443,ignited,
constant_pressure,900.0,10.0,0.7,0.2,207.21834419849,207.22284242720758,0.0021707676195265417,2314.089419334871,1414.0894193348709,100438307.49404907,0.0048014742932720724,3500,ignited,
constant_pressure,900.0,10.0,0.8,0.2,194.4419944346617,194.4453669319925,0.001734449052850365,2447.1128425101306,1547.1128425101306,144681424.5541687,0.006323135070830148,3895,ignited,
constant_pressure,900.0,10.0,0.9,0.2,183.8591418569712,183.861772978301,0.001431052763115423,2552.237925091032,1652.2379250910321,182311604.1079712,0.007495930154685829,3959,ignited,
constant_pressure,900.0,10.0,1.0,0.2,174.91250517139002,174.91452488126592,0.0011546972435827721,2618.6830825301654,1718.6830825301654,206756158.05117798,0.00810989561017118,3903,ignited,
constant_pressure,900.0,10.0,1.1,0.2,167.22570567625053,167.22722390296582,0.0009078907510967154,2628.688894218827,1728.688894218827,212913853.49734497,0.008065084284103421,3970,ignited,
constant_pressure,900.0,10.0,1.2,0.2,160.53384245282356,160.53520093328845,0.000846226841724292,2585.1453862225553,1685.1453862225553,197654653.2070923,0.007271102515175558,3851,ignited,
constant_pressure,900.0,10.0,1.3,0.2,154.6442357770594,154.64584572503705,0.001041065623656627,2520.2090684243744,1620.2090684243744,161571593.5958252,0.005526038716876743,3940,ignited,
constant_pressure,900.0,10.0,1.4,0.2,149.41272824446358,149.41524634584877,0.0016853325782740648,2450.918069370093,1550.9180693700928,114051436.40397644,0.0028498247569426574,3945,ignited,
constant_pressure,925.0,10.0,0.6,0.2,113.66838218397186,113.6746036377629,0.005473337151022972,2179.9428451648578,1254.9428451648578,64242613.9879303,0.003402718466188154,3442,ignited,
constant_pressure,925.0,10.0,0.7,0.2,105.37094007131077,105.37519955266156,0.004042368178459344,2333.1326764945893,1408.1326764945893,109441035.23666382,0.0050283582165167335,3647,ignited,
constant_pressure,925.0,10.0,0.8,0.2,98.70751475900316,98.7107359072239,0.0032633262306424496,2464.1572608241045,1539.1572608241045,155371314.90394592,0.00656300495992259,3762,ignited,
constant_pressure,925.0,10.0,0.9,0.2,93.20981990119644,93.21233536216121,0.002698708105475648,2567.060051072434,1642.060051072434,194180901.31388855,0.007736292118448092,3680,ignited,
constant_pressure,925.0,10.0,1.0,0.2,88.57892016137498,88.58088015918975,0.002212713601830476,2632.008331640251,1707.008331640251,219359307.66137695,0.008346516494322782,3827,ignited,
constant_pressure,925.0,10.0,1.1,0.2,84.61358601767682,84.6150549713588,0.0017360730718490808,2643.162111121499,1718.162111121499,225857512.4416809,0.00829921294520135,3943,ignited,
constant_pressure,925.0,10.0,1.2,0.2,81.17262696562182,81.17394571130927,0.0016246187129248287,2602.2726133209403,1677.2726133209403,210600885.863739,0.0075087948686775935,3987,ignited,
constant_pressure,925.0,10.0,1.3,0.2,78.15361289942939,78.15515353474296,0.001971291225598299,2538.904282226584,1613.9042822265842,174141008.54779053,0.0057829598940449195,3975,ignited,
constant_pressure,925.0,10.0,1.4,0.2,75.48006123629136,75.48242474435537,0.0031313012010001588,2470.434055790148,1545.4340557901478,125349876.41067505,0.00312464989061193,3953,ignited,
constant_pressure,950.0,10.0,0.6,0.2,60.05003092964493,60.05579859313547,0.009604763563394559,2200.465167146388,1250.465167146388,71539429.49372864,0.003604728429333735,3503,ignited,
constant_pressure,950.0,10.0,0.7,0.2,55.576581748142175,55.58058919240471,0.0072106706394693435,2352.0979105730175,1402.0979105730175,119012383.92640686,0.005260659848344755,3524,ignited,
constant_pressure,950.0,10.0,0.8,0.2,52.00168693725717,52.00474875797178,0.0058879257480773895,2481.0786320987213,1531.0786320987213,166657106.03030396,0.006807193426603251,3887,ignited,
constant_pressure,950.0,10.0,0.9,0.2,49.06551112055476,49.06793171226775,0.00493338733808976,2581.7721374590815,1631.7721374590815,206670200.88754272,0.007980352293236757,3810,ignited,
constant_pressure,950.0,10.0,1.0,0.2,46.60285157261497,46.604737771654584,0.004047389753975446,2645.270217635324,1695.2702176353241,232593372.6500244,0.0085866265003967,3857,ignited,
constant_pressure,950.0,10.0,1.1,0.2,44.502868897904705,44.50430276726815,0.003221970625613317,2657.4804993920948,1707.4804993920948,239454594.74972534,0.008536661801238805,3826,ignited,
